region,category,price_value
,молоко,2236.0
,творог,1386.0
,,1449.0
,,316.0
,сметана,406.0
,сыр,529.0
,сливки,2574.0
,напиток,2406.0
,творог,1475.0
,молоко,4475.0
,молоко,3430.0
,,1098.0
,сыр,8910.0
,молоко,8548.0
,простокваша,138.0
,сливки,5405.0
,молоко,954.0
,молоко,1018.0
,молоко,1038.0
,сливки,817.0
,сыр,217.0
,,1454.0
,сыр,625.0
,йогурт,5227.0
,молоко,1340.0
,,1855.0
,,954.0
,молоко,233.0
,молоко,4188.0
,молоко,3460.0
,молоко,3861.0
,молоко,3312.0
,молоко,959.0
,молоко,1238.0
,молоко,1275.0
,молоко,3505.0
,напиток,2594.0
,молоко,4257.0
,масло,218.0
,молоко,1521.0
,молоко,7326.0
,сливки,1568.0
,йогурт,5041.0
,молоко,849.0
,молоко,1210.0
,йогурт,78.0
,,697.0
,сыр,84.0
,сыр,1089.0
,сыр,580.0
,молоко,1019.0
,йогурт,94.0
,молоко,913.0
,,408.0
,,118.0
,молоко,926.0
,,3326.0
,молоко,784.0
,сыр,975.0
,йогурт,128.0
,молоко,889.0
,йогурт,98.0
,йогурт,650.0
,напиток,1739.0
,сыр,128.0
,,689.0
,молоко,459.0
,,746.0
,,78.0
,сыр,149.0
,сливки,414.0
,,78.0
,ряженка,78.0
,творог,267.0
,молоко,1218.0
,сыр,104.0
,,852.0
,сыр,371.0
,йогурт,84.0
,молоко,785.0
,,84.0
,молоко,390.0
,напиток,415.0
,десерт,187.0
,сыр,396.0
,сыр,1535.0
,,1970.0
,,1901.0
,,428.0
,,1680.0
,сыр,102.0
,,396.0
,напиток,1423.0
,молоко,1188.0
,,779.0
,,849.0
,напиток,177.0
,йогурт,74.0
,сыр,1089.0
,сыр,1089.0
,йогурт,265.0
,молоко,873.0
,сыр,396.0
,,71.0
,сыр,380.0
,йогурт,607.0
,,428.0
,сыр,396.0
,молоко,529.0
,,831.0
,напиток,460.0
,напиток,724.0
,напиток,415.0
,масло,1271.0
,сыр,564.0
,творог,52.0
,молоко,358.0
,молоко,842.0
,десерт,1431.0
,напиток,618.0
,молоко,1188.0
,творог,668.0
,масло,1182.0
,молоко,545.0
,напиток,641.0
,творог,464.0
,сыр,749.0
,,644.0
,напиток,261.0
,напиток,262.0
,напиток,261.0
,,1304.0
,сыр,474.0
,молоко,320.0
,,494.0
,напиток,101.0
Moscow,йогурт,84.0
Moscow,простокваша,98.0
Moscow,молоко,96.0
Moscow,сметана,115.0
Moscow,сыр,256.0
Moscow,,124.0
Moscow,сыр,129.0
Moscow,,74.0
Moscow,кефир,118.0
Moscow,молоко,245.0
Moscow,масло,235.0
Moscow,кефир,119.0
Moscow,сыр,52.0
Moscow,сыр,336.0
Moscow,сыр,95.0
Moscow,молоко,149.0
Moscow,молоко,115.0
Moscow,молоко,180.0
Moscow,,204.0
Moscow,масло,239.0
Moscow,,157.0
Moscow,,78.0
Moscow,ряженка,157.0
Moscow,сливки,125.0
Moscow,,98.0
Moscow,сыр,177.0
Moscow,йогурт,94.0
Moscow,сливки,149.0
Moscow,простокваша,88.0
Moscow,,126.0
Moscow,творог,49.0
Moscow,десерт,59.0
Moscow,молоко,165.0
Moscow,йогурт,78.0
Moscow,йогурт,74.0
Moscow,молоко,144.0
Moscow,,316.0
Moscow,,118.0
Moscow,детское,84.0
Moscow,молоко,263.0
Moscow,йогурт,84.0
Moscow,йогурт,58.0
Moscow,сливки,94.0
Moscow,молоко,138.0
Moscow,йогурт,288.0
Moscow,масло,237.0
Moscow,сметана,105.0
Moscow,йогурт,39.0
Moscow,,118.0
Moscow,кефир,157.0
Moscow,сметана,227.0
Moscow,сыр,276.0
Moscow,йогурт,74.0
Moscow,,527.0
Moscow,,59.0
Moscow,молоко,118.0
Moscow,масло,205.0
Moscow,творог,98.0
Moscow,йогурт,628.0
Moscow,йогурт,554.0
Moscow,сыр,95.0
Moscow,йогурт,608.0
Moscow,,689.0
Moscow,молоко,98.0
Moscow,,177.0
Moscow,,124.0
Moscow,творог,526.0
Moscow,сметана,115.0
Moscow,простокваша,109.0
Moscow,сыр,266.0
Moscow,сыр,128.0
Moscow,,118.0
Moscow,молоко,172.0
Moscow,,74.0
Moscow,творог,192.0
Moscow,простокваша,118.0
Moscow,молоко,108.0
Moscow,сыр,207.0
Moscow,,372.0
Moscow,сыр,225.0
Moscow,,58.0
Moscow,сыр,266.0
Moscow,,157.0
Moscow,,49.0
Moscow,простокваша,220.0
Moscow,простокваша,45.0
Moscow,сливки,158.0
Moscow,масло,235.0
Moscow,молоко,127.0
Moscow,кефир,108.0
Moscow,,94.0
Moscow,творог,118.0
Moscow,сыр,256.0
Moscow,ряженка,78.0
Moscow,молоко,153.0
Moscow,сыр,256.0
Moscow,,49.0
Moscow,,157.0
Moscow,молоко,233.0
Moscow,йогурт,85.0
Moscow,сыр,365.0
Moscow,сливки,256.0
Moscow,сыр,312.0
Moscow,сыр,90.0
Moscow,сыр,96.0
Moscow,молоко,148.0
Moscow,сметана,118.0
Moscow,йогурт,85.0
Moscow,молоко,88.0
Moscow,десерт,69.0
Moscow,йогурт,78.0
Moscow,простокваша,109.0
Moscow,йогурт,74.0
Moscow,ряженка,84.0
Moscow,сметана,150.0
Moscow,,49.0
Moscow,йогурт,85.0
Moscow,йогурт,85.0
Moscow,сыр,95.0
Moscow,сыр,128.0
Moscow,,108.0
Moscow,творог,146.0
Moscow,йогурт,74.0
Moscow,йогурт,75.0
Moscow,творог,64.0
Moscow,,98.0
Moscow,сыр,276.0
Moscow,,94.0
Moscow,,74.0
Moscow,,74.0
Moscow,,148.0
Moscow,,74.0
Moscow,,118.0
Moscow,сыр,217.0
Moscow,масло,245.0
Moscow,,78.0
Moscow,,94.0
Moscow,сыр,247.0
Moscow,молоко,179.0
Moscow,сыр,217.0
Moscow,сметана,108.0
Moscow,йогурт,84.0
Moscow,напиток,187.0
Moscow,простокваша,65.0
Moscow,,118.0
Moscow,напиток,39.0
Moscow,,133.0
Moscow,йогурт,85.0
Moscow,напиток,39.0
Moscow,простокваша,138.0
Moscow,йогурт,90.0
Moscow,йогурт,80.0
Moscow,,197.0
Moscow,сыр,247.0
Moscow,творог,68.0
Moscow,сыр,68.0
Moscow,творог,52.0
Moscow,сыр,144.0
Moscow,сыр,84.0
Moscow,сыр,172.0
Moscow,молоко,148.0
Moscow,,157.0
Moscow,сыр,262.0
Moscow,йогурт,98.0
Moscow,,108.0
Moscow,,49.0
Moscow,,88.0
Moscow,йогурт,79.0
Moscow,йогурт,90.0
Moscow,сыр,64.0
Moscow,напиток,39.0
Moscow,простокваша,65.0
Moscow,молоко,146.0
Moscow,йогурт,75.0
Moscow,йогурт,104.0
Moscow,йогурт,68.0
Moscow,йогурт,55.0
Moscow,сыр,152.0
Moscow,молоко,94.0
Moscow,молоко,153.0
Moscow,сыр,95.0
Moscow,сыр,187.0
Moscow,напиток,39.0
Moscow,детское,128.0
Moscow,масло,218.0
Moscow,,74.0
Moscow,,131.0
Moscow,сливки,266.0
Moscow,,203.0
Moscow,сыр,238.0
Moscow,сыр,147.0
Moscow,,118.0
Moscow,напиток,159.0
Moscow,йогурт,98.0
Moscow,йогурт,168.0
Moscow,,64.0
Moscow,сметана,88.0
Moscow,сметана,187.0
Moscow,молоко,68.0
Moscow,молоко,183.0
Moscow,йогурт,88.0
Moscow,йогурт,168.0
Moscow,сыр,78.0
Moscow,напиток,39.0
Moscow,сыр,316.0
Moscow,йогурт,94.0
Moscow,,78.0
Moscow,,177.0
Moscow,молоко,217.0
Moscow,йогурт,55.0
Moscow,напиток,39.0
Moscow,сметана,157.0
Moscow,,108.0
Moscow,сыр,217.0
Moscow,,187.0
Moscow,напиток,187.0
Moscow,сыр,177.0
Moscow,сыр,319.0
Moscow,сыр,188.0
Moscow,,150.0
Moscow,простокваша,177.0
Moscow,,138.0
Moscow,творог,118.0
Moscow,,159.0
Moscow,сыр,174.0
Moscow,простокваша,65.0
Moscow,молоко,108.0
Moscow,молоко,88.0
Moscow,молоко,54.0
Moscow,молоко,54.0
Moscow,детское,3509.0
Moscow,молоко,167.0
Moscow,молоко,175.0
Moscow,простокваша,165.0
Moscow,молоко,183.0
Moscow,молоко,146.0
Moscow,простокваша,168.0
Moscow,молоко,193.0
Moscow,простокваша,165.0
Moscow,молоко,860.0
Moscow,молоко,68.0
Moscow,молоко,145.0
Moscow,молоко,74.0
Moscow,молоко,558.0
Moscow,молоко,754.0
Moscow,молоко,494.0
Moscow,молоко,197.0
Moscow,молоко,1084.0
Moscow,молоко,2769.0
Moscow,молоко,1433.0
Moscow,молоко,2387.0
Moscow,молоко,3151.0
Moscow,молоко,2005.0
Moscow,молоко,177.0
Moscow,молоко,395.0
Moscow,молоко,177.0
Moscow,молоко,1891.0
Moscow,молоко,800.0
Moscow,молоко,1591.0
Moscow,молоко,2866.0
Moscow,молоко,3584.0
Moscow,напиток,288.0
Moscow,молоко,400.0
Moscow,молоко,919.0
Moscow,молоко,1404.0
Moscow,напиток,603.0
Moscow,молоко,622.0
Moscow,молоко,2665.0
Moscow,молоко,1562.0
Moscow,молоко,693.0
Moscow,молоко,542.0
Moscow,молоко,796.0
Moscow,напиток,565.0
Moscow,молоко,4413.0
Moscow,йогурт,138.0
Moscow,молоко,980.0
Moscow,молоко,2755.0
Moscow,молоко,663.0
Moscow,молоко,439.0
Moscow,молоко,3079.0
Moscow,молоко,588.0
Moscow,молоко,1031.0
Moscow,молоко,584.0
Moscow,напиток,183.0
Moscow,молоко,525.0
Moscow,молоко,1172.0
Moscow,молоко,538.0
Moscow,молоко,1933.0
Moscow,молоко,644.0
Moscow,молоко,1131.0
Moscow,молоко,1040.0
Moscow,напиток,333.0
Moscow,молоко,879.0
Moscow,молоко,588.0
Moscow,молоко,738.0
Moscow,молоко,796.0
Moscow,молоко,778.0
Moscow,напиток,589.0
Moscow,молоко,262.0
Moscow,молоко,1284.0
Moscow,молоко,1794.0
Moscow,молоко,207.0
Moscow,молоко,719.0
Moscow,молоко,2097.0
Moscow,молоко,237.0
Moscow,напиток,823.0
Moscow,молоко,1562.0
Moscow,напиток,255.0
Moscow,молоко,1047.0
Moscow,напиток,157.0
Moscow,напиток,806.0
Moscow,молоко,1820.0
Moscow,напиток,911.0
Moscow,сметана,134.0
Moscow,молоко,911.0
Moscow,молоко,678.0
Moscow,молоко,447.0
Moscow,напиток,255.0
Moscow,молоко,274.0
Moscow,напиток,255.0
Moscow,молоко,6366.0
Moscow,напиток,872.0
Moscow,молоко,1952.0
Moscow,молоко,1812.0
Moscow,молоко,1183.0
Moscow,молоко,1544.0
Moscow,молоко,2386.0
Moscow,молоко,340.0
Moscow,молоко,1574.0
Moscow,молоко,2112.0
Moscow,молоко,367.0
Moscow,молоко,1335.0
Moscow,молоко,557.0
Moscow,молоко,1749.0
Moscow,молоко,5168.0
Moscow,напиток,255.0
Moscow,,114.0
Moscow,молоко,512.0
Moscow,молоко,2945.0
Moscow,молоко,492.0
Moscow,молоко,879.0
Moscow,молоко,1248.0
Moscow,молоко,616.0
Moscow,молоко,459.0
Moscow,молоко,3277.0
Moscow,молоко,2869.0
Moscow,молоко,896.0
Moscow,напиток,52.0
Moscow,молоко,624.0
Moscow,молоко,2080.0
Moscow,молоко,348.0
Moscow,напиток,173.0
Moscow,,8954.0
Moscow,молоко,756.0
Moscow,молоко,2396.0
Moscow,молоко,944.0
Moscow,молоко,5762.0
Moscow,молоко,3160.0
Moscow,молоко,1607.0
Moscow,молоко,445.0
Moscow,молоко,3029.0
Moscow,молоко,430.0
Moscow,молоко,5351.0
Moscow,молоко,2243.0
Moscow,сыр,1332.0
Moscow,молоко,3120.0
Moscow,молоко,1351.0
Moscow,молоко,671.0
Moscow,молоко,796.0
Moscow,,1183.0
Moscow,молоко,1445.0
Moscow,сыр,1440.0
Moscow,молоко,743.0
Moscow,сыр,1421.0
Moscow,молоко,1238.0
Moscow,молоко,459.0
Moscow,молоко,898.0
Moscow,молоко,424.0
Moscow,,280.0
Moscow,молоко,584.0
Moscow,молоко,1546.0
Moscow,молоко,4584.0
Moscow,молоко,529.0
Moscow,молоко,440.0
Moscow,,1010.0
Moscow,,697.0
Moscow,молоко,207.0
Moscow,молоко,971.0
Moscow,молоко,1081.0
Moscow,напиток,238.0
Moscow,молоко,1426.0
Moscow,молоко,760.0
Moscow,молоко,523.0
Moscow,молоко,911.0
Moscow,молоко,849.0
Moscow,молоко,848.0
Moscow,молоко,371.0
Moscow,молоко,794.0
Moscow,молоко,891.0
Moscow,молоко,555.0
Moscow,,1187.0
Moscow,молоко,641.0
Moscow,молоко,1183.0
Moscow,сыр,1197.0
Moscow,сыр,1247.0
Moscow,молоко,540.0
Moscow,,598.0
Moscow,молоко,1018.0
Moscow,молоко,693.0
Moscow,молоко,431.0
Moscow,молоко,609.0
Moscow,,177.0
Moscow,,243.0
Moscow,молоко,1356.0
Moscow,молоко,824.0
Moscow,молоко,1351.0
Moscow,,316.0
Moscow,молоко,717.0
Moscow,молоко,320.0
Moscow,молоко,843.0
Moscow,молоко,2722.0
Moscow,молоко,1342.0
Moscow,молоко,663.0
Moscow,молоко,885.0
Moscow,молоко,1038.0
Moscow,молоко,1619.0
Moscow,молоко,566.0
Moscow,напиток,872.0
Moscow,молоко,2208.0
Moscow,молоко,476.0
Moscow,сливки,162.0
Moscow,сливки,855.0
Moscow,сливки,207.0
Moscow,сливки,628.0
Moscow,сливки,1139.0
Moscow,сливки,213.0
Moscow,сливки,1980.0
Moscow,сливки,838.0
Moscow,сливки,990.0
Moscow,сливки,418.0
Moscow,сливки,627.0
Moscow,сливки,634.0
Moscow,сливки,253.0
Moscow,сливки,2210.0
Moscow,сливки,477.0
Moscow,сливки,395.0
Moscow,сливки,588.0
Moscow,сливки,377.0
Moscow,сливки,777.0
Moscow,сливки,819.0
Moscow,сливки,641.0
Moscow,сливки,919.0
Moscow,,753.0
Moscow,,886.0
Moscow,сливки,571.0
Moscow,сливки,2531.0
Moscow,,1092.0
Moscow,сливки,993.0
Moscow,сливки,2115.0
Moscow,сливки,921.0
Moscow,сливки,828.0
Moscow,сливки,626.0
Moscow,сливки,583.0
Moscow,сливки,2129.0
Moscow,сливки,1485.0
Moscow,сливки,1554.0
Moscow,сливки,757.0
Moscow,сливки,802.0
Moscow,сливки,659.0
Moscow,сливки,702.0
Moscow,сливки,6632.0
Moscow,сливки,541.0
Moscow,сливки,6433.0
Moscow,сливки,700.0
Moscow,сливки,942.0
Moscow,сливки,919.0
Moscow,сливки,819.0
Moscow,сливки,956.0
Moscow,сливки,1245.0
Moscow,сливки,347.0
Moscow,сливки,1001.0
Moscow,сливки,910.0
Moscow,сливки,848.0
Moscow,масло,406.0
Moscow,напиток,586.0
Moscow,сливки,752.0
Moscow,сливки,1385.0
Moscow,сливки,413.0
Moscow,сливки,1440.0
Moscow,сливки,1930.0
Moscow,сливки,2828.0
Moscow,сливки,626.0
Moscow,сливки,2228.0
Moscow,,600.0
Moscow,,717.0
Moscow,сливки,3029.0
Moscow,сливки,1243.0
Moscow,сливки,509.0
Moscow,сливки,817.0
Moscow,сливки,781.0
Moscow,сливки,2574.0
Moscow,сливки,414.0
Moscow,сливки,6912.0
Moscow,сливки,1481.0
Moscow,сливки,1013.0
Moscow,,10726.0
Moscow,,5712.0
Moscow,сливки,1693.0
Moscow,,649.0
Moscow,сливки,2901.0
Moscow,,1026.0
Moscow,,2187.0
Moscow,сливки,2198.0
Moscow,сливки,9602.0
Moscow,сливки,1257.0
Moscow,сливки,3416.0
Moscow,сливки,1048.0
Moscow,,2889.0
Moscow,сливки,2168.0
Moscow,сливки,1091.0
Moscow,сливки,492.0
Moscow,сливки,808.0
Moscow,сливки,1307.0
Moscow,,5381.0
Moscow,сливки,488.0
Moscow,,836.0
Moscow,сливки,2092.0
Moscow,сливки,8109.0
Moscow,сливки,977.0
Moscow,сливки,517.0
Moscow,сливки,731.0
Moscow,сливки,1011.0
Moscow,,561.0
Moscow,масло,381.0
Moscow,сливки,504.0
Moscow,сливки,7640.0
Moscow,сливки,6185.0
Moscow,масло,416.0
Moscow,сливки,7168.0
Moscow,,6373.0
Moscow,сливки,1013.0
Moscow,сливки,6730.0
Moscow,сливки,2228.0
Moscow,,88.0
Moscow,сливки,910.0
Moscow,,582.0
Moscow,,5712.0
Moscow,масло,646.0
Moscow,масло,177.0
Moscow,сливки,7900.0
Moscow,сливки,7931.0
Moscow,сливки,673.0
Moscow,сливки,858.0
Moscow,,2880.0
Moscow,сливки,1661.0
Moscow,сливки,910.0
Moscow,сливки,338.0
Moscow,сливки,342.0
Moscow,сливки,926.0
Moscow,сливки,1724.0
Moscow,сливки,1931.0
Moscow,сливки,814.0
Moscow,сливки,819.0
Moscow,сливки,910.0
Moscow,сливки,153.0
Moscow,,753.0
Moscow,сливки,1709.0
Moscow,,8402.0
Moscow,сливки,1235.0
Moscow,,2831.0
Moscow,сливки,358.0
Moscow,сливки,792.0
Moscow,сливки,3965.0
Moscow,сливки,5405.0
Moscow,сливки,157.0
Moscow,сливки,910.0
Moscow,сливки,6367.0
Moscow,сливки,1513.0
Moscow,,2719.0
Moscow,сливки,1037.0
Moscow,сливки,6367.0
Moscow,,3210.0
Moscow,сливки,1697.0
Moscow,сливки,1096.0
Moscow,сливки,620.0
Moscow,сливки,178.0
Moscow,сливки,1179.0
Moscow,творог,118.0
Moscow,сливки,7731.0
Moscow,масло,1009.0
Moscow,сливки,4232.0
Moscow,,2022.0
Moscow,сливки,646.0
Moscow,масло,901.0
Moscow,сливки,336.0
Moscow,,2719.0
Moscow,сливки,910.0
Moscow,масло,596.0
Moscow,масло,901.0
Moscow,сливки,1368.0
Moscow,,5617.0
Moscow,сливки,114.0
Moscow,сливки,1209.0
Moscow,сливки,423.0
Moscow,сливки,520.0
Moscow,сливки,1910.0
Moscow,сливки,8641.0
Moscow,сливки,409.0
Moscow,,633.0
Moscow,сливки,2546.0
Moscow,сливки,1139.0
Moscow,сливки,452.0
Moscow,сливки,1368.0
Moscow,простокваша,168.0
Moscow,сливки,1366.0
Moscow,сливки,2651.0
Moscow,сливки,2252.0
Moscow,,2030.0
Moscow,сливки,1910.0
Moscow,,4229.0
Moscow,сливки,478.0
Moscow,сливки,485.0
Moscow,,649.0
Moscow,сливки,307.0
Moscow,сливки,1303.0
Moscow,сливки,2651.0
Moscow,сливки,469.0
Moscow,сливки,775.0
Moscow,сливки,2651.0
Moscow,сливки,307.0
Moscow,,197.0
Moscow,,4952.0
Moscow,сливки,2092.0
Moscow,сливки,469.0
Moscow,сливки,296.0
Moscow,сливки,517.0
Moscow,сливки,1508.0
Moscow,сливки,5275.0
Moscow,сливки,919.0
Moscow,сливки,347.0
Moscow,сливки,2095.0
Moscow,сливки,875.0
Moscow,сливки,486.0
Moscow,сливки,347.0
Moscow,,1178.0
Moscow,масло,300.0
Moscow,сливки,321.0
Moscow,сливки,451.0
Moscow,сливки,1717.0
Moscow,,516.0
Moscow,кефир,98.0
Moscow,кефир,54.0
Moscow,кефир,207.0
Moscow,кефир,692.0
Moscow,кефир,815.0
Moscow,,207.0
Moscow,,114.0
Moscow,кефир,3090.0
Moscow,кефир,1202.0
Moscow,кефир,3363.0
Moscow,кефир,1369.0
Moscow,кефир,758.0
Moscow,,207.0
Moscow,кефир,574.0
Moscow,кефир,2356.0
Moscow,кефир,1371.0
Moscow,кефир,523.0
Moscow,кефир,3856.0
Moscow,кефир,1230.0
Moscow,кефир,1371.0
Moscow,кефир,2079.0
Moscow,кефир,3817.0
Moscow,напиток,203.0
Moscow,кефир,1014.0
Moscow,кефир,641.0
Moscow,напиток,187.0
Moscow,кефир,3170.0
Moscow,кефир,346.0
Moscow,кефир,3856.0
Moscow,ряженка,58.0
Moscow,кефир,1254.0
Moscow,кефир,2526.0
Moscow,кефир,1230.0
Moscow,кефир,7712.0
Moscow,напиток,217.0
Moscow,кефир,1146.0
Moscow,напиток,39.0
Moscow,кефир,978.0
Moscow,кефир,12127.0
Moscow,напиток,187.0
Moscow,напиток,203.0
Moscow,кефир,296.0
Moscow,кефир,2847.0
Moscow,кефир,1051.0
Moscow,кефир,4298.0
Moscow,кефир,767.0
Moscow,кефир,7712.0
Moscow,кефир,1327.0
Moscow,йогурт,168.0
Moscow,кефир,3048.0
Moscow,кефир,3048.0
Moscow,кефир,1465.0
Moscow,кефир,3048.0
Moscow,напиток,217.0
Moscow,кефир,3433.0
Moscow,кефир,7712.0
Moscow,йогурт,78.0
Moscow,кефир,3299.0
Moscow,кефир,1123.0
Moscow,йогурт,167.0
Moscow,кефир,601.0
Moscow,йогурт,106.0
Moscow,кефир,3048.0
Moscow,йогурт,128.0
Moscow,кефир,1330.0
Moscow,кефир,792.0
Moscow,кефир,792.0
Moscow,кефир,352.0
Moscow,кефир,508.0
Moscow,,157.0
Moscow,кефир,451.0
Moscow,кефир,1180.0
Moscow,кефир,845.0
Moscow,кефир,792.0
Moscow,кефир,1634.0
Moscow,кефир,1681.0
Moscow,кефир,1452.0
Moscow,,718.0
Moscow,кефир,2004.0
Moscow,кефир,792.0
Moscow,кефир,1979.0
Moscow,кефир,693.0
Moscow,кефир,792.0
Moscow,кефир,792.0
Moscow,кефир,1348.0
Moscow,кефир,829.0
Moscow,кефир,792.0
Moscow,кефир,792.0
